"File","Line","Str","Code"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.java","1258","Löschen","cmdDelete.setToolTipText(""Löschen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.java","1364","Aktualisieren","cmdRefresh.setToolTipText(""Aktualisieren"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.java","1382","verschiebt die Nachricht nach Zuordnung in den Ordner \","chkMoveToImported.setToolTipText(""verschiebt die Nachricht nach Zuordnung in den Ordner \""in Akte importiert\"""");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.java","1391","Hinweis: temporäre Dateien","lblTempFilesWarning.setText(""Hinweis: temporäre Dateien"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaInboxPanel.java","1400","Menge der angezeigten Nachrichten beschränken","cmbDownloadMails.setToolTipText(""Menge der angezeigten Nachrichten beschränken"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1115","in Akte...","mnuSearchSave.setText(""in Akte..."");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1280","weitere","tabAttachments.addTab(""weitere"", jScrollPane5);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1299","Nachricht als PDF anzeigen / drucken","cmdToPdf.setToolTipText(""Nachricht als PDF anzeigen / drucken"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1339","eEB zurückweisen","cmdEebReject.setText(""eEB zurückweisen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1340","elektronisches Empfangsbekenntnis zurückweisen","cmdEebReject.setToolTipText(""elektronisches Empfangsbekenntnis zurückweisen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1423","Nachricht","jTabbedPane1.addTab(""Nachricht"", jPanel3);"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1439","Nachrichtenjournal erneut aus dem Postfach laden","cmdRefreshJournal.setToolTipText(""Nachrichtenjournal erneut aus dem Postfach laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaMessageContentUI.java","1485","Nachrichtenjournal erneut aus dem Postfach laden","cmdRefreshProcessCard.setToolTipText(""Nachrichtenjournal erneut aus dem Postfach laden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\BeaSignaturesVerificationDialog.java","1089","PDF anzeigen / speichern","cmdDownloadPdf.setText(""PDF anzeigen / speichern"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\IdentityPanel.java","729","Nachname, Vorname (Username)","lblNames.setText(""Nachname, Vorname (Username)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SelectLegalAuthorityDialog.java","748","Justizbehörde auswählen","setTitle(""Justizbehörde auswählen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SelectLegalAuthorityDialog.java","785","Keine auswählen","cmdUnknown.setText(""Keine auswählen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1382","Anhang öffnen","return ""Anhang öffnen"";"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1430","suchen (Adressbuch)","mnuSearchRecipient.setText(""suchen (Adressbuch)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1439","suchen (beA-Verzeichnis)","mnuSearchRecipientInBea.setText(""suchen (beA-Verzeichnis)"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1449","entfernen","mnuRemoveAttachment.setText(""entfernen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1458","entfernen","mnuRemoveRecipient.setText(""entfernen"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1467","neue beA-Nachricht","setTitle(""neue beA-Nachricht"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1618"," speichern und später signieren/senden","cmdSaveDraft.setToolTipText(""in \""Entwürfe\"" speichern und später signieren/senden"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1698","als Dokument speichern","chkSaveAsDocument.setText(""als Dokument speichern"");"
"j-lawyer-client\src\main\java\com\jdimension\jlawyer\client\bea\SendBeaMessageFrame.java","1699","Gesendete Nachricht als Dokument zur Akte speichern","chkSaveAsDocument.setToolTipText(""Gesendete Nachricht als Dokument zur Akte speichern"");"
